"";"LotArea";"LotShape";"Utilities";"LandSlope";"HouseStyle";"OverallCond";"YearBuilt";"YearRemodAdd";"BsmtCond";"TotalBsmtSF";"Heating";"HeatingQC";"CentralAir";"KitchenQual";"Fireplaces";"FireplaceQu";"GarageCars";"GarageArea";"GarageCond";"PoolArea";"PoolQC";"MoSold";"YrSold";"SalePrice"
"11";"11200 m2";"Reg";"AllPub";"Gtl";"1Story";5;1965;1965;"TA";1040;"GasA";"Ex";"Y";"TA";0;NA;1;384;"TA";0;NA;2;2008;129500
"12";"11924 m2";"IR1";"AllPub";"Gtl";"2Story";5;2005;2006;"TA";1175;"GasA";"Ex";"Y";"Ex";2;"Gd";3;736;"TA";0;NA;7;2006;345000
"13";"12968 m2";"IR2";"AllPub";"Gtl";"1Story";6;1962;1962;"TA";912;"GasA";"TA";"Y";"TA";0;NA;1;352;"TA";0;NA;9;2008;144000
"14";"10652 m2";"IR1";"AllPub";"Gtl";"1Story";5;2006;2007;"TA";1494;"GasA";"Ex";"Y";"Gd";1;"Gd";3;840;"TA";0;NA;8;2007;279500
"15";"10920 m2";"IR1";"AllPub";"Gtl";"1Story";5;1960;1960;"TA";1253;"GasA";"TA";"Y";"TA";1;"Fa";1;352;"TA";0;NA;5;2008;157000
"16";"6120 m2";"Reg";"AllPub";"Gtl";"1.5Unf";8;1929;2001;"TA";832;"GasA";"Ex";"Y";"TA";0;NA;2;576;"TA";0;NA;7;2007;132000
"17";"11241 m2";"IR1";"AllPub";"Gtl";"1Story";7;1970;1970;"TA";1004;"GasA";"Ex";"Y";"TA";1;"TA";2;480;"TA";0;NA;3;2010;149000
"18";"10791 m2";"Reg";"AllPub";"Gtl";"1Story";5;1967;1967;NA;0;"GasA";"TA";"Y";"TA";0;NA;2;516;"TA";0;NA;10;2006;90000
"19";"13695 m2";"Reg";"AllPub";"Gtl";"1Story";5;2004;2004;"TA";1114;"GasA";"Ex";"Y";"Gd";0;NA;2;576;"TA";0;NA;6;2008;159000
"20";"7560 m2";"Reg";"AllPub";"Gtl";"1Story";6;1958;1965;"TA";1029;"GasA";"TA";"Y";"TA";0;NA;1;294;"TA";0;NA;5;2009;139000
"21";"14215 m2";"IR1";"AllPub";"Gtl";"2Story";5;2005;2006;"TA";1158;"GasA";"Ex";"Y";"Gd";1;"Gd";3;853;"TA";0;NA;11;2006;325300
"22";"7449 m2";"Reg";"AllPub";"Gtl";"1.5Unf";7;1930;1950;"TA";637;"GasA";"Ex";"Y";"Gd";1;"Gd";1;280;"TA";0;NA;6;2007;139400
"23";"9742 m2";"Reg";"AllPub";"Gtl";"1Story";5;2002;2002;"TA";1777;"GasA";"Ex";"Y";"Gd";1;"Gd";2;534;"TA";0;NA;9;2008;230000
"24";"4224 m2";"Reg";"AllPub";"Gtl";"1Story";7;1976;1976;"TA";1040;"GasA";"TA";"Y";"TA";1;"TA";2;572;"TA";0;NA;6;2007;129900
"25";"8246 m2";"IR1";"AllPub";"Gtl";"1Story";8;1968;2001;"TA";1060;"GasA";"Ex";"Y";"Gd";1;"TA";1;270;"TA";0;NA;5;2010;154000
"26";"14230 m2";"Reg";"AllPub";"Gtl";"1Story";5;2007;2007;"TA";1566;"GasA";"Ex";"Y";"Gd";1;"Gd";3;890;"TA";0;NA;7;2009;256300
"27";"7200 m2";"Reg";"AllPub";"Gtl";"1Story";7;1951;2000;"TA";900;"GasA";"TA";"Y";"Gd";0;NA;2;576;"TA";0;NA;5;2010;134800
"28";"11478 m2";"Reg";"AllPub";"Gtl";"1Story";5;2007;2008;"TA";1704;"GasA";"Ex";"Y";"Gd";1;"Gd";3;772;"TA";0;NA;5;2010;306000
"29";"16321 m2";"IR1";"AllPub";"Gtl";"1Story";6;1957;1997;"TA";1484;"GasA";"TA";"Y";"TA";2;"Gd";1;319;"TA";0;NA;12;2006;207500
"30";"6324 m2";"IR1";"AllPub";"Gtl";"1Story";6;1927;1950;"TA";520;"GasA";"Fa";"N";"Fa";0;NA;1;240;"TA";0;NA;5;2008;68500
"31";"8500 m2";"Reg";"AllPub";"Gtl";"2Story";4;1920;1950;"TA";649;"GasA";"TA";"N";"TA";0;NA;1;250;"Fa";0;NA;7;2008;40000
"32";"8544 m2";"IR1";"AllPub";"Gtl";"1Story";6;1966;2006;"TA";1228;"GasA";"Gd";"Y";"Gd";0;NA;1;271;"TA";0;NA;6;2008;149350
"33";"11049 m2";"Reg";"AllPub";"Gtl";"1Story";5;2007;2007;"TA";1234;"GasA";"Ex";"Y";"Gd";0;NA;2;484;"TA";0;NA;1;2008;179900
"34";"10552 m2";"IR1";"AllPub";"Gtl";"1Story";5;1959;1959;"TA";1398;"GasA";"Gd";"Y";"Gd";1;"Gd";2;447;"TA";0;NA;4;2010;165500
"35";"7313 m2";"Reg";"AllPub";"Gtl";"1Story";5;2005;2005;"TA";1561;"GasA";"Ex";"Y";"Ex";1;"Gd";2;556;"TA";0;NA;8;2007;277500
"36";"13418 m2";"Reg";"AllPub";"Gtl";"2Story";5;2004;2005;"TA";1117;"GasA";"Ex";"Y";"Gd";1;"Gd";3;691;"TA";0;NA;9;2006;309000
"37";"10859 m2";"Reg";"AllPub";"Gtl";"1Story";5;1994;1995;"TA";1097;"GasA";"Ex";"Y";"TA";0;NA;2;672;"TA";0;NA;6;2009;145000
"38";"8532 m2";"Reg";"AllPub";"Gtl";"1Story";6;1954;1990;"TA";1297;"GasA";"Gd";"Y";"TA";1;"TA";2;498;"TA";0;NA;10;2009;153000
"39";"7922 m2";"Reg";"AllPub";"Gtl";"1Story";7;1953;2007;"TA";1057;"GasA";"TA";"Y";"Gd";0;NA;1;246;"TA";0;NA;1;2010;109000
"40";"6040 m2";"Reg";"AllPub";"Gtl";"1Story";5;1955;1955;NA;0;"GasA";"TA";"N";"Fa";0;NA;0;0;NA;0;NA;6;2008;82000
"41";"8658 m2";"Reg";"AllPub";"Gtl";"1Story";5;1965;1965;"TA";1088;"GasA";"Ex";"Y";"TA";1;"TA";2;440;"TA";0;NA;12;2006;160000
"42";"16905 m2";"Reg";"AllPub";"Gtl";"1Story";6;1959;1959;"TA";1350;"GasA";"Gd";"Y";"TA";2;"Gd";1;308;"TA";0;NA;7;2007;170000
"43";"9180 m2";"IR1";"AllPub";"Gtl";"SFoyer";7;1983;1983;"TA";840;"GasA";"Gd";"Y";"Gd";0;NA;2;504;"Gd";0;NA;12;2007;144000
"44";"9200 m2";"IR1";"AllPub";"Gtl";"1Story";6;1975;1980;"TA";938;"GasA";"TA";"Y";"TA";0;NA;1;308;"TA";0;NA;7;2008;130250
"45";"7945 m2";"Reg";"AllPub";"Gtl";"1Story";6;1959;1959;"TA";1150;"GasA";"Ex";"Y";"TA";0;NA;1;300;"TA";0;NA;5;2006;141000
"46";"7658 m2";"Reg";"AllPub";"Gtl";"1Story";5;2005;2005;"TA";1752;"GasA";"Ex";"Y";"Ex";1;"Gd";2;576;"TA";0;NA;2;2010;319900
"47";"12822 m2";"IR1";"AllPub";"Gtl";"1.5Fin";5;2003;2003;"TA";1434;"GasA";"Ex";"Y";"Gd";1;"Ex";2;670;"TA";0;NA;8;2009;239686
"48";"11096 m2";"Reg";"AllPub";"Gtl";"1Story";5;2006;2006;"TA";1656;"GasA";"Ex";"Y";"Gd";0;NA;3;826;"TA";0;NA;7;2007;249700
"49";"4456 m2";"Reg";"AllPub";"Gtl";"2Story";5;1920;2008;"TA";736;"GasA";"Gd";"Y";"TA";0;NA;0;0;NA;0;NA;6;2009;113000
"50";"7742 m2";"Reg";"AllPub";"Gtl";"1Story";7;1966;1966;"TA";955;"GasA";"Ex";"Y";"TA";0;NA;1;386;"TA";0;NA;1;2007;127000
"51";"13869 m2";"IR2";"AllPub";"Gtl";"2Story";6;1997;1997;"TA";794;"GasA";"Gd";"Y";"TA";0;NA;2;388;"TA";0;NA;7;2007;177000
"52";"6240 m2";"Reg";"AllPub";"Gtl";"1.5Fin";6;1934;1950;"TA";816;"GasA";"TA";"Y";"TA";1;"Gd";2;528;"TA";0;NA;9;2006;114500
"53";"8472 m2";"IR2";"AllPub";"Mod";"1Story";5;1963;1963;"TA";816;"GasA";"TA";"N";"TA";0;NA;2;516;"TA";0;NA;5;2010;110000
"54";"50271 m2";"IR1";"AllPub";"Gtl";"1Story";5;1981;1987;"TA";1842;"GasA";"Gd";"Y";"Gd";1;"Gd";3;894;"TA";0;NA;11;2006;385000
"55";"7134 m2";"Reg";"AllPub";"Mod";"SLvl";5;1955;1955;"TA";384;"GasA";"TA";"Y";"TA";1;"TA";2;572;"TA";0;NA;2;2007;130000
"56";"10175 m2";"IR1";"AllPub";"Gtl";"1Story";5;1964;1964;"TA";1425;"GasA";"Gd";"Y";"TA";1;"Gd";2;576;"TA";0;NA;7;2008;180500
"57";"2645 m2";"Reg";"AllPub";"Gtl";"2Story";5;1999;2000;"TA";970;"GasA";"Ex";"Y";"Gd";0;NA;2;480;"TA";0;NA;8;2009;172500
"58";"11645 m2";"IR1";"AllPub";"Gtl";"2Story";5;2004;2004;"TA";860;"GasA";"Ex";"Y";"Gd";0;NA;2;565;"TA";0;NA;8;2006;196500
"59";"13682 m2";"IR2";"AllPub";"Gtl";"2Story";5;2006;2006;"TA";1410;"GasA";"Ex";"Y";"Gd";1;"Gd";3;641;"TA";0;NA;10;2006;438780
"60";"7200 m2";"Reg";"AllPub";"Gtl";"1Story";7;1972;1972;"TA";780;"GasA";"Ex";"Y";"TA";0;NA;1;352;"TA";0;NA;1;2008;124900
"61";"13072 m2";"Reg";"AllPub";"Gtl";"1Story";5;2004;2004;"TA";1158;"GasA";"Ex";"Y";"Gd";0;NA;2;576;"TA";0;NA;5;2006;158000
"62";"7200 m2";"Reg";"AllPub";"Gtl";"2.5Unf";7;1920;1996;"Fa";530;"GasA";"TA";"N";"Fa";0;NA;1;288;"TA";0;NA;3;2007;101000
"63";"6442 m2";"IR1";"AllPub";"Gtl";"1Story";5;2006;2006;"Gd";1370;"GasA";"Ex";"Y";"Gd";1;"Gd";2;484;"TA";0;NA;10;2007;202500
"64";"10300 m2";"IR1";"AllPub";"Gtl";"2Story";6;1921;1950;"TA";576;"GasA";"Gd";"Y";"TA";0;NA;2;480;"TA";0;NA;4;2010;140000
"65";"9375 m2";"Reg";"AllPub";"Gtl";"2Story";5;1997;1998;"TA";1057;"GasA";"Ex";"Y";"Gd";0;NA;2;645;"TA";0;NA;2;2009;219500
"66";"9591 m2";"Reg";"AllPub";"Gtl";"2Story";5;2004;2005;"TA";1143;"GasA";"Ex";"Y";"Gd";1;"Gd";3;852;"TA";0;NA;10;2007;317000
"67";"19900 m2";"Reg";"AllPub";"Gtl";"1Story";5;1970;1989;"TA";1947;"GasA";"TA";"Y";"TA";1;"Gd";2;576;"TA";0;NA;7;2010;180000
"68";"10665 m2";"IR1";"AllPub";"Gtl";"1Story";5;2003;2003;"TA";1453;"GasA";"Ex";"Y";"Gd";0;NA;2;558;"TA";0;NA;6;2007;226000
"69";"4608 m2";"Reg";"AllPub";"Gtl";"1Story";6;1945;1950;"TA";747;"GasA";"TA";"Y";"TA";0;NA;1;220;"TA";0;NA;6;2010;80000
"70";"15593 m2";"Reg";"AllPub";"Gtl";"1.5Fin";4;1953;1953;"TA";1304;"GasW";"TA";"Y";"TA";1;"TA";2;667;"TA";0;NA;7;2006;225000
"71";"13651 m2";"IR1";"AllPub";"Gtl";"1Story";6;1973;1973;"TA";2223;"GasA";"Ex";"Y";"TA";2;"Gd";2;516;"TA";0;NA;2;2007;244000
"72";"7599 m2";"Reg";"AllPub";"Gtl";"1Story";6;1982;2006;"TA";845;"GasA";"TA";"Y";"TA";0;NA;2;360;"TA";0;NA;6;2007;129500
"73";"10141 m2";"IR1";"AllPub";"Gtl";"2Story";5;1998;1998;"TA";832;"GasA";"Gd";"Y";"TA";1;"TA";2;427;"TA";0;NA;12;2009;185000
"74";"10200 m2";"Reg";"AllPub";"Gtl";"1Story";7;1954;2003;"TA";1086;"GasA";"Gd";"Y";"TA";0;NA;2;490;"TA";0;NA;5;2010;144900
"75";"5790 m2";"Reg";"AllPub";"Gtl";"2Story";6;1915;1950;"TA";840;"GasA";"Gd";"N";"TA";0;NA;1;379;"TA";0;NA;5;2010;107400
"76";"1596 m2";"Reg";"AllPub";"Gtl";"SLvl";5;1973;1973;"TA";462;"GasA";"TA";"Y";"TA";0;NA;1;297;"TA";0;NA;11;2009;91000
"77";"8475 m2";"IR1";"AllPub";"Gtl";"1Story";7;1956;1956;"TA";952;"GasA";"Ex";"Y";"TA";0;NA;1;283;"TA";0;NA;4;2008;135750
"78";"8635 m2";"Reg";"AllPub";"Gtl";"1.5Fin";5;1948;2001;"TA";672;"GasA";"TA";"Y";"TA";0;NA;1;240;"TA";0;NA;1;2008;127000
"79";"10778 m2";"Reg";"AllPub";"Gtl";"1Story";5;1968;1968;"TA";1768;"GasA";"TA";"N";"TA";0;NA;0;0;NA;0;NA;4;2010;136500
"80";"10440 m2";"Reg";"AllPub";"Gtl";"2Story";6;1910;1981;"TA";440;"GasA";"Gd";"Y";"TA";0;NA;2;440;"TA";0;NA;5;2009;110000
"81";"13000 m2";"Reg";"AllPub";"Gtl";"2Story";6;1968;1968;"TA";896;"GasA";"TA";"Y";"Gd";1;"Gd";1;509;"TA";0;NA;6;2009;193500
"82";"4500 m2";"Reg";"AllPub";"Gtl";"1Story";5;1998;1998;"Gd";1237;"GasA";"Ex";"Y";"TA";0;NA;2;405;"TA";0;NA;3;2006;153500
"83";"10206 m2";"Reg";"AllPub";"Gtl";"1Story";5;2007;2007;"TA";1563;"GasA";"Ex";"Y";"Gd";1;"Gd";3;758;"TA";0;NA;10;2008;245000
"84";"8892 m2";"IR1";"AllPub";"Gtl";"1Story";5;1960;1960;"TA";1065;"GasA";"Gd";"Y";"TA";0;NA;2;461;"TA";0;NA;7;2007;126500
"85";"8530 m2";"IR1";"AllPub";"Gtl";"SLvl";5;1995;1996;"TA";384;"GasA";"Gd";"Y";"TA";1;"TA";2;400;"TA";0;NA;5;2009;168500
"86";"16059 m2";"Reg";"AllPub";"Gtl";"2Story";5;1991;1992;"TA";1288;"GasA";"Ex";"Y";"Gd";1;"TA";2;462;"TA";0;NA;4;2006;260000
"87";"11911 m2";"IR2";"AllPub";"Gtl";"2Story";5;2005;2005;"TA";684;"GasA";"Ex";"Y";"Gd";1;"Gd";2;400;"TA";0;NA;3;2009;174000
"88";"3951 m2";"Reg";"AllPub";"Gtl";"2Story";5;2009;2009;"TA";612;"GasA";"Ex";"Y";"Gd";0;NA;2;528;"TA";0;NA;6;2009;164500
"89";"8470 m2";"IR1";"AllPub";"Gtl";"1.5Fin";2;1915;1982;"Fa";1013;"GasA";"TA";"N";"Fa";0;NA;0;0;NA;0;NA;10;2009;85000
"90";"8070 m2";"Reg";"AllPub";"Gtl";"1Story";5;1994;1995;"TA";990;"GasA";"Ex";"Y";"TA";0;NA;0;0;NA;0;NA;8;2007;123600
"91";"7200 m2";"Reg";"AllPub";"Gtl";"1Story";5;1950;1950;NA;0;"GasA";"TA";"Y";"TA";0;NA;2;420;"TA";0;NA;7;2006;109900
"92";"8500 m2";"Reg";"AllPub";"Gtl";"1Story";3;1961;1961;"TA";1235;"GasA";"TA";"Y";"TA";0;NA;2;480;"TA";0;NA;12;2006;98600
"93";"13360 m2";"IR1";"AllPub";"Gtl";"1Story";7;1921;2006;"TA";876;"GasA";"Ex";"Y";"TA";0;NA;2;432;"TA";0;NA;8;2009;163500
"94";"7200 m2";"Reg";"AllPub";"Gtl";"2.5Unf";6;1910;1998;"Fa";1214;"GasW";"Ex";"N";"TA";1;"Gd";2;506;"TA";0;NA;11;2007;133900
"95";"9337 m2";"IR1";"AllPub";"Gtl";"2Story";5;1997;1997;"TA";824;"GasA";"Ex";"Y";"Gd";0;NA;2;684;"TA";0;NA;5;2007;204750
"96";"9765 m2";"IR2";"AllPub";"Gtl";"2Story";8;1993;1993;"Gd";680;"GasA";"Gd";"Y";"TA";1;"TA";2;420;"TA";0;NA;4;2009;185000
"97";"10264 m2";"IR1";"AllPub";"Gtl";"1Story";5;1999;1999;"TA";1588;"GasA";"Ex";"Y";"Gd";0;NA;2;472;"TA";0;NA;8;2006;214000
"98";"10921 m2";"Reg";"AllPub";"Gtl";"1Story";5;1965;1965;"TA";960;"GasA";"TA";"Y";"TA";0;NA;1;432;"TA";0;NA;5;2007;94750
"99";"10625 m2";"Reg";"AllPub";"Gtl";"1Story";5;1920;1950;"TA";458;"GasA";"Fa";"N";"TA";0;NA;1;366;"TA";0;NA;5;2010;83000
"100";"9320 m2";"IR1";"AllPub";"Gtl";"1Story";5;1959;1959;"TA";950;"GasA";"Fa";"Y";"TA";0;NA;0;0;NA;0;NA;1;2010;128950
"101";"10603 m2";"IR1";"AllPub";"Gtl";"1Story";7;1977;2001;"TA";1610;"GasA";"Gd";"Y";"Gd";2;"TA";2;480;"TA";0;NA;2;2010;205000
"102";"9206 m2";"Reg";"AllPub";"Gtl";"2Story";5;1985;1985;"TA";741;"GasA";"TA";"Y";"Gd";1;"TA";2;476;"TA";0;NA;6;2010;178000
"103";"7018 m2";"Reg";"AllPub";"Gtl";"1Story";5;1979;1979;NA;0;"GasA";"TA";"Y";"TA";0;NA;2;410;"TA";0;NA;6;2009;118964
"104";"10402 m2";"IR1";"AllPub";"Gtl";"1Story";5;2009;2009;"TA";1226;"GasA";"Ex";"Y";"Gd";0;NA;3;740;"TA";0;NA;5;2010;198900
"105";"7758 m2";"Reg";"AllPub";"Gtl";"1.5Fin";4;1931;1950;"TA";1040;"GasA";"Ex";"Y";"TA";2;"TA";1;240;"TA";0;NA;6;2007;169500
"106";"9375 m2";"Reg";"AllPub";"Gtl";"2Story";5;2003;2004;"TA";1053;"GasA";"Ex";"Y";"Gd";1;"Gd";2;648;"TA";0;NA;8;2008;250000
"107";"10800 m2";"Reg";"AllPub";"Gtl";"1Story";7;1885;1995;"TA";641;"GasA";"Gd";"Y";"TA";0;NA;1;273;"Fa";0;NA;8;2007;100000
"108";"6000 m2";"Reg";"AllPub";"Gtl";"1Story";5;1948;1950;"TA";789;"GasA";"Ex";"Y";"TA";0;NA;1;250;"TA";0;NA;4;2008;115000
"109";"8500 m2";"Reg";"AllPub";"Gtl";"1.5Fin";7;1919;2005;"TA";793;"GasW";"TA";"N";"Fa";0;NA;0;0;NA;0;NA;8;2007;115000
"110";"11751 m2";"IR1";"AllPub";"Gtl";"1Story";6;1977;1977;"TA";1844;"GasA";"Ex";"Y";"TA";1;"TA";2;546;"TA";0;NA;1;2010;190000
"111";"9525 m2";"Reg";"AllPub";"Gtl";"1.5Fin";4;1954;1972;"Fa";994;"GasA";"Gd";"Y";"TA";0;NA;1;325;"TA";0;NA;10;2006;136900
"112";"7750 m2";"IR1";"AllPub";"Gtl";"SLvl";5;2000;2000;"TA";384;"GasA";"Ex";"Y";"TA";1;"TA";2;400;"TA";0;NA;4;2010;180000
"113";"9965 m2";"Reg";"AllPub";"Gtl";"2Story";5;2007;2007;"TA";1264;"GasA";"Ex";"Y";"Ex";1;"Gd";3;792;"TA";0;NA;10;2007;383970
"114";"21000 m2";"Reg";"AllPub";"Gtl";"1Story";5;1953;1953;"TA";1809;"GasA";"TA";"Y";"Gd";2;"Gd";2;450;"TA";0;NA;10;2007;217000
"115";"7259 m2";"IR1";"AllPub";"Mod";"2Story";8;1945;2002;"TA";1028;"GasA";"Ex";"Y";"Gd";1;"TA";1;180;"TA";0;NA;7;2007;259500
"116";"3230 m2";"Reg";"AllPub";"Gtl";"2Story";5;1999;1999;"TA";729;"GasA";"Gd";"Y";"TA";1;"Fa";2;440;"TA";0;NA;6;2007;176000
"117";"11616 m2";"Reg";"AllPub";"Gtl";"1Story";5;1962;1962;"TA";1092;"GasA";"TA";"Y";"TA";1;"Po";1;288;"TA";0;NA;9;2009;139000
"118";"8536 m2";"Reg";"AllPub";"Gtl";"1Story";5;2006;2007;"TA";1125;"GasA";"Gd";"Y";"TA";0;NA;2;430;"TA";0;NA;4;2007;155000
"119";"12376 m2";"Reg";"AllPub";"Gtl";"2Story";5;1990;1990;"TA";1673;"GasA";"Gd";"Y";"Gd";2;"TA";3;594;"TA";0;NA;5;2010;320000
"120";"8461 m2";"Reg";"AllPub";"Gtl";"2Story";5;2005;2006;"TA";728;"GasA";"Ex";"Y";"Gd";1;"Gd";2;390;"TA";0;NA;7;2006;163990
"121";"21453 m2";"IR1";"AllPub";"Sev";"SLvl";5;1969;1969;"TA";938;"GasA";"Ex";"Y";"TA";2;"TA";2;540;"TA";0;NA;10;2006;180000
"122";"6060 m2";"Reg";"AllPub";"Gtl";"1.5Fin";5;1939;1950;"TA";732;"GasA";"Gd";"Y";"TA";0;NA;1;264;"TA";0;NA;6;2007;100000
"123";"9464 m2";"Reg";"AllPub";"Gtl";"1Story";7;1958;1958;"TA";1080;"GasA";"Gd";"Y";"TA";0;NA;1;288;"TA";0;NA;6;2008;136000
"124";"7892 m2";"Reg";"AllPub";"Gtl";"1Story";5;1993;1993;"TA";1199;"GasA";"Ex";"Y";"Gd";0;NA;2;530;"TA";0;NA;3;2008;153900
"125";"17043 m2";"IR1";"AllPub";"Gtl";"1Story";5;1979;1998;"Fa";1362;"GasA";"TA";"Y";"TA";1;"TA";2;435;"TA";0;NA;1;2009;181000
"126";"6780 m2";"Reg";"AllPub";"Gtl";"1.5Fin";8;1935;1982;"TA";520;"GasA";"Gd";"N";"TA";0;NA;0;0;NA;0;NA;6;2006;84500
"127";"4928 m2";"IR1";"AllPub";"Gtl";"1Story";5;1976;1976;"TA";1078;"GasA";"TA";"Y";"TA";1;"TA";2;440;"TA";0;NA;2;2007;128000
"128";"4388 m2";"IR1";"AllPub";"Gtl";"1.5Unf";7;1930;1950;"TA";672;"GasA";"Ex";"Y";"TA";1;"TA";0;0;NA;0;NA;6;2007;87000
"129";"7590 m2";"Reg";"AllPub";"Gtl";"2Story";5;1966;1966;"TA";660;"GasA";"TA";"Y";"TA";1;"Fa";2;453;"TA";0;NA;7;2006;155000
"130";"8973 m2";"Reg";"AllPub";"Gtl";"1Story";7;1958;1991;"TA";1008;"GasA";"TA";"Y";"Ex";0;NA;2;750;"TA";0;NA;7;2006;150000
"131";"14200 m2";"Reg";"AllPub";"Gtl";"2Story";6;1966;1966;"TA";924;"GasA";"Ex";"Y";"Gd";2;"Gd";2;487;"TA";0;NA;5;2006;226000
"132";"12224 m2";"IR1";"AllPub";"Gtl";"2Story";5;2000;2000;"TA";992;"GasA";"Ex";"Y";"Gd";1;"TA";2;390;"TA";0;NA;7;2009;244000
"133";"7388 m2";"Reg";"AllPub";"Gtl";"1Story";6;1959;2002;"TA";1063;"GasA";"Gd";"Y";"Gd";0;NA;2;624;"TA";0;NA;7;2007;150750
"134";"6853 m2";"IR1";"AllPub";"Gtl";"1Story";5;2001;2002;"TA";1267;"GasA";"Ex";"Y";"Gd";0;NA;2;471;"TA";0;NA;6;2009;220000
"135";"10335 m2";"IR1";"AllPub";"Gtl";"1Story";6;1968;1993;"TA";1461;"GasA";"Gd";"Y";"TA";1;"TA";2;440;"TA";0;NA;7;2006;180000
"136";"10400 m2";"Reg";"AllPub";"Gtl";"1Story";6;1970;1970;"TA";1304;"GasA";"Gd";"Y";"TA";1;"Gd";2;530;"TA";0;NA;5;2008;174000
"137";"10355 m2";"IR1";"AllPub";"Gtl";"1Story";5;1967;1967;"TA";1214;"GasA";"TA";"Y";"TA";1;"Fa";1;318;"TA";0;NA;7;2007;143000
"138";"11070 m2";"Reg";"AllPub";"Gtl";"1Story";5;1988;1989;"TA";1907;"GasA";"Gd";"Y";"TA";0;NA;3;766;"TA";0;NA;7;2006;171000
"139";"9066 m2";"IR1";"AllPub";"Gtl";"2Story";5;1999;2000;"TA";1004;"GasA";"Ex";"Y";"Gd";2;"TA";3;660;"TA";0;NA;12;2008;230000
"140";"15426 m2";"IR1";"AllPub";"Gtl";"2Story";5;1997;1997;"TA";928;"GasA";"Ex";"Y";"Gd";0;NA;2;470;"TA";0;NA;8;2009;231500
"141";"10500 m2";"Reg";"AllPub";"Gtl";"1Story";5;1971;1971;"TA";864;"GasA";"TA";"Y";"TA";1;"Po";0;0;NA;0;NA;4;2010;115000
"142";"11645 m2";"Reg";"AllPub";"Gtl";"1Story";5;2005;2005;"TA";1734;"GasA";"Ex";"Y";"Gd";0;NA;2;660;"TA";0;NA;1;2006;260000
"143";"8520 m2";"Reg";"AllPub";"Gtl";"1.5Fin";4;1952;1952;"TA";910;"GasA";"Fa";"Y";"TA";0;NA;2;720;"TA";0;NA;6;2010;166000
"144";"10335 m2";"IR1";"AllPub";"Gtl";"1Story";5;1999;1999;"TA";1490;"GasA";"Ex";"Y";"Gd";0;NA;2;577;"TA";0;NA;6;2009;204000
"145";"9100 m2";"Reg";"AllPub";"Gtl";"1Story";5;1963;1963;"TA";1728;"GasA";"TA";"Y";"TA";0;NA;2;504;"TA";0;NA;11;2006;125000
"146";"2522 m2";"Reg";"AllPub";"Gtl";"2Story";5;2004;2006;"TA";970;"GasA";"Ex";"Y";"Gd";0;NA;2;380;"TA";0;NA;4;2006;130000
"147";"6120 m2";"Reg";"AllPub";"Gtl";"1Story";7;1931;1993;"TA";715;"GasA";"TA";"Y";"TA";0;NA;1;180;"TA";0;NA;11;2009;105000
"148";"9505 m2";"IR1";"AllPub";"Gtl";"2Story";5;2001;2001;"TA";884;"GasA";"Ex";"Y";"Gd";1;"Gd";2;434;"TA";0;NA;5;2010;222500
